"Country","País"
"Allowed Credit Card Types","Tipos de tarjetas de crédito permitidos"
"Add Rule","Agregar regla"
"Month","Mes"
"Year","Año"
"Stored Card","Tarjeta almacenada"
"Credit Card Type","Tipo de tarjeta de crédito"
"Credit Card Number","Número de tarjeta de crédito"
"Credit card successfully added","Tarjeta de crédito agregada con éxito"
"Something went wrong while saving the card.","Algo salió mal al guardar la tarjeta."
"Credit card does not exist","La tarjeta de crédito no existe"
"Delete Credit Card","Borrar la tarjeta de crédito"
"There was error deleting the credit card","Ocurrió un error al eliminar la tarjeta de crédito"
"Credit card successfully deleted","Tarjeta de crédito eliminada correctamente"
"Edit Credit Card","Editar tarjeta de crédito"
"My Credit Cards","Mis tarjetas de crédito"
"New Credit Card","Nueva tarjeta de crédito"
"There was error during saving card data","Ocurrió un error al guardar los datos de la tarjeta"
"We can't initialize checkout.","No se puede iniciar el cobro."
"Please agree to all the terms and conditions before placing the order.","Por favor, acepta todos los términos y condiciones antes de realizar el pedido."
"We can't place the order.","No se puede realizar el pedido."
"Incorrect payment method.","Forma de pago incorrecta."
"We can't initialize checkout review.","No se puede iniciar el informe de comprobación."
"We can't update shipping method.","No se puede actualizar el método de envío."
"The processor declined your transaction, please re-enter your payment information","El procesador declinó su transacción, por favor vuelva a introducir la información de pago"
"Transaction declined by gateway: Check card details or try another card","Transacción declinada por la puerta de enlace: Comprueba los datos o prueba con otra tarjeta"
"Transaction declined: ","Transacción rechazada: "
".","."
"The processor responded with an unknown error","El procesador respondió con un error desconocido"
"Credit card type is not allowed for your country.","Tipo de tarjeta de crédito no está permitido para su país."
"Credit card type is not allowed for this payment method.","Este tipo de tarjeta de crédito no está permitido para este método de pago."
"Selected payment type is not allowed for billing country.","El tipo de pago seleccionado no está permitido para el país de facturación."
"Incomplete payment information.","Información de pago incompleta."
"Please try again later","Por favor, inténtalo más tarde"
"Can not find original authorization transaction for partial capture","No se encuentra la transacción original de la autorización para la captura parcial"
"There was an error capturing the transaction: %1.","Hubo un error en la captura de la transacción: %1."
"This refund is for a partial amount but the Transaction has not settled.","Este reembolso es una cantidad parcial pero la transacción no se ha establecido."
"Please wait 24 hours before trying to issue a partial refund.","Por favor espere 24 horas antes de emitir un reembolso parcial."
"There was an error refunding the transaction: %1.","Hubo un error de devolución de la transacción: %1."
"Some transactions are already settled or voided and cannot be voided.","Algunas transacciones ya se han cancelado o anulado y no pueden ser anuladas."
"Voided capture.","Captura de anuladas."
"There was an error voiding the transaction: %1.","Hubo un error de anulación de la transacción: %1."
"Invoice","Factura"
"Shipment","Envío"
"Authorize","Autorizar"
"Authorize and Capture","Autorizar y Capturar"
"--Please Select--","--Seleccione--"
"Invalid Customer ID provided","ID de cliente proporcionado no válido"
"some error","algún error"
"a,b,c","a, b, c"
"Something went wrong while processing.","Algo salió mal durante el proceso."
"error","error"
"exception","excepción"
"Payment Information","Información de pago"
"Add new card","Agregar nueva tarjeta"
"Please Select","Por favor, seleccione"
"Expiration Date","Fecha de vencimiento"
"Card Verification Number","Número de verificación de tarjeta"
"Save this card for future use","Guarde esta tarjeta para usos futuros"
"or","o"
"Please confirm that you want to delete this credit card","Por favor confirme que desea eliminar esta tarjeta de crédito"
"Cardholder Name","Nombre titular"
"Delete","Borrar"
"Back","Volver"
"* Required Fields","* Campos obligatorios"
"Credit Card","Tarjeta de crédito."
"CVV","CVV"
"Card Verification Number Visual Reference","Referencia Visual del Número de Verificación de la Tarjeta"
"What is this?","¿Qué es esto?"
"Make Default","Establecer por defecto"
"Billing Address","Dirección de facturación"
"First Name","Nombre"
"Last Name","Apellidos"
"Company","Empresa"
"Address","Dirección"
"City","Ciudad"
"State/Province","Estado/Provincia"
"Please select region, state or province","Por favor seleccione región, estado o provincia"
"Zip/Postal Code","Código Postal"
"Submit","Enviar"
"Add Credit Card","Añadir tarjeta de crédito"
"Type","Tipo"
"Card Number","Número de la tarjeta"
"Is Default","Es por defecto"
"Actions","Acciones"
"Yes","Sí"
"No","No 	"
"Edit","Editar"
"Braintree","Braintree"
"&nbsp;","&nbsp;"
"Enable this Solution","Habilitar esta solución"
"Enable PayPal through Braintree","Activar PayPal a través de Braintree"
"Basic Braintree Settings","Configuración básica de Braintree"
"Title","Título"
"Environment","Entorno"
"Payment Action","Acción de pago"
"Merchant Account ID","ID de cuenta del comerciante"
"Merchant ID","Identificación del comerciante"
"Public Key","Clave publica"
"Private Key","Clave Privada"
"Advanced Braintree Settings","Configuración avanzada de Braintree"
"Debug","Depurar"
"Capture action","Capture action"
"New Order Status","Nuevo estado del pedido"
"Use Vault","Usa Vault"
"Allow Duplicate Cards","Permitir tarjetas duplicadas"
"CVV Verification","Verificación CVV"
"Credit Card Types","Tipos de tarjeta de crédito"
"Enable Credit Card auto-detection on Storefront","Habilitar detección automática de tarjeta de crédito en tienda"
"Advanced Fraud Protection","Protección avanzada de fraude"
"Your Kount ID","Su ID de Kount"
"Use Cache","Usar Cache"
"Sort Order","Orden de aparición"
"Country Specific Settings","Ajustes específicos del país"
"Payment from Applicable Countries","Pago desde países aceptados"
"Payment from Specific Countries","Pago desde países específicos"
"Country Specific Credit Card Types","Tipos de tarjeta de crédito específicas del país"
"PayPal through Braintree","PayPal a través de Braintree"
"Override Merchant Name","Reemplazar el nombre comercial"
"Display on Shopping Cart","Mostrar en carrito de compras"
"Require Customer's Billing Address","Requiere la dirección de facturación del cliente"
"Allow to Edit Shipping Address Entered During Checkout on PayPal Side","Permitir que se modifique la dirección de envío introducida durante el pago en PayPal"
"3D Secure Verification Settings","Configuración de verificación 3D segura"
"3D Secure Verification","Verificación 3D segura"
"Edit My Credit Cards","Editar mis tarjetas de crédito"
